"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"BOX1_SCORE",0,0.0278986282646656,-0.00326610915362835,0.00124196230899543,-0.00367998285219073,0.0278192181140184,0.0283301472663879,-0.00725425034761429,0.00197551213204861,0.00328259030357003,0.192882120609283,0.180708587169647,0.283770143985748,0.234050571918488,0.174828380346298,-0.0159743428230286,0.0464889109134674,0.279413819313049,0.241398990154266,0.204595744609833
"BOX2_SCORE",0.0587539933621883,0.0963262617588043,0.075835794210434,-0.0125986970961094,0.0149306189268827,0.0301906820386648,0.0027630403637886,0.006684351246804,0.00156398629769683,0.00175272312480956,-0.295067489147186,0.103456825017929,-0.0649919062852859,0.065111517906189,-0.106447860598564,-0.205651700496674,-0.0127317011356354,0.0676502585411072,0.0961993038654327,-0.194935739040375
"BOX3_SCORE",-0.00368289859034121,0.0128771914169192,0.015951219946146,0,0.00812016427516937,0.014491100795567,0.00462330505251884,0.00540641695261002,0.0182396471500397,0.00314984587021172,-0.245912849903107,-0.151492938399315,0.0996980667114258,-0.149948760867119,0.0598813891410828,-0.0439322888851166,0.135623544454575,-0.0795695036649704,0.080047607421875,0.0150735378265381
"PERFORMANCE_STATUS",0.414588034152985,0.175151392817497,0.0434619784355164,0,0.00161796016618609,0.01354737021029,0.11038713902235,0.11847972869873,0.00724661163985729,0.0130919851362705,0.00736558437347412,-0.0382945537567139,-0.0534614026546478,0.1317999958992,0.0158754885196686,-0.16484135389328,-0.145313262939453,-0.224910289049149,-0.127166822552681,0.139667063951492
"PERFORMANCE_STATUS_0",-0.0164042431861162,-0.0193328447639942,-0.00888052582740784,0.00649661384522915,0.00297413999214768,-0.00668611563742161,-0.0110850464552641,-0.0148433884605765,0,-0.00515954056754708,-0.176992014050484,-0.165638566017151,0.163260012865067,-0.210039332509041,-0.0967175215482712,0.269808351993561,-0.215942099690437,0.097291111946106,0.204944372177124,-0.0756473392248154
"PERFORMANCE_STATUS_1",0.00576523039489985,-0.00454195775091648,-0.00685945665463805,-0.00720336101949215,0.00219366233795881,0.00321591203100979,0,-0.0135462433099747,-0.0178295113146305,-0.00774345733225346,-0.195218548178673,-0.220420658588409,-0.166380003094673,-0.278607279062271,0.142054677009583,-0.299121141433716,0.0535284876823425,-0.204788863658905,-0.00456216931343079,-0.185610413551331
"PERFORMANCE_STATUS_2",-0.00764615368098021,0.0417322516441345,0.0404235757887363,0.0854160785675049,-0.00279426737688482,0,0.0303179789334536,0.0319268293678761,0.0115216849371791,0.0216123927384615,-0.0280713737010956,0.0866285562515259,0.10518604516983,0.045758843421936,0.0556422173976898,0.182929217815399,-0.15747232735157,0.218419075012207,0.278453588485718,-0.267382949590683
"PERFORMANCE_STATUS_3",0.0810693725943565,0.00254235276952386,0.00898302905261517,-0.0109529420733452,0,-0.00119967968203127,-0.00219870056025684,0.0176858697086573,0.00829908438026905,0.003676074789837,0.0821239650249481,-0.176712810993195,-0.110849648714066,-0.176669105887413,0.0310102105140686,-0.106775522232056,-0.297145873308182,0.243998467922211,0.231627881526947,0.0519693493843079
"PERFORMANCE_STATUS_4",0.0353675298392773,0.0191815141588449,-0.0382203906774521,0.0782161802053452,0.0884076207876205,0.0878580063581467,0.0267747808247805,0.00190026860218495,-0.00137533876113594,0,-0.0247623920440674,-0.0128850340843201,0.278524696826935,-0.0278489589691162,-0.114947080612183,0.278234422206879,-0.120243549346924,-0.117205590009689,-0.239026099443436,0.260908722877502
"BMI",-0.136133641004562,-0.0838211178779602,-0.027740366756916,-0.0320319049060345,-0.150881886482239,-0.0719166174530983,-0.090580128133297,-0.0682581141591072,-0.00309740845113993,0.00827260408550501,0.00786295533180237,-0.238967955112457,-0.288947552442551,0.21738612651825,0.0523940324783325,0.204557120800018,0.264253556728363,0.260752558708191,0.128909260034561,0.293077409267426
"NO_PROBLEM",0,0.0607625283300877,0.056895162910223,0.0507990159094334,0.149349063634872,0.0221826117485762,0.0195391327142715,0.00155744422227144,0.00256965262815356,0.00248056487180293,-0.170727729797363,0.186336100101471,-0.277153462171555,-0.254125744104385,0.273301184177399,0.0375611186027527,0.134235143661499,-0.229526668787003,0.0565422773361206,-0.036169022321701
"NO_APPETITE",-0.0995616987347603,-0.125355809926987,-0.0257388427853584,0.00128182908520103,0.00115795654710382,-0.0215907581150532,-0.0138605590909719,-0.0060667535290122,-0.0061854007653892,-0.00557938823476434,-0.0937144905328751,-0.0904855877161026,0.274354934692383,0.0971280038356781,0.251531183719635,-0.140239775180817,0.275310397148132,-0.137996926903725,-0.244192689657211,0.0397619605064392
"NAUSEA",-0.00659226812422276,0,0,0.00158358947373927,-0.0404598116874695,-0.0338011272251606,-0.0267409607768059,-0.00518091721460223,0.00575059000402689,0.00870390981435776,0.0681222379207611,-0.27721506357193,-0.064004197716713,0.117641359567642,0.00367674231529236,0.242185175418854,0.0551239252090454,0.297824621200562,0.110860645771027,0.263015568256378
"CONSTIPATION",0,0.0277539733797312,-0.00413311179727316,-0.103817880153656,-0.101105265319347,-0.0787381902337074,-0.0550782680511475,-0.0186222605407238,-0.0339283607900143,0.00123271171469241,-0.174355670809746,-0.14299687743187,-0.159815385937691,0.174665421247482,-0.18822705745697,-0.296451240777969,-0.22660830616951,-0.298959672451019,-0.192217811942101,-0.0478955805301666
"TASTE_FUNNY",-0.00517971906810999,-0.0168647393584251,-0.0213630441576242,-0.0235661808401346,-0.0112055148929358,-0.0665293112397194,0.0719304606318474,0.054604560136795,-0.0101690217852592,0,0.236487030982971,0.182740598917007,-0.125233232975006,-0.241027772426605,0.0844264626502991,0.0959192216396332,0.0578365921974182,0.285952925682068,0.103170871734619,-0.0869331359863281
"SMELL",-0.0598177537322044,-0.00377129763364792,-0.0319806337356567,-0.0325086489319801,-0.0144592951983213,-0.00518052885308862,-0.00190266931895167,0,0,0.0017325869994238,-0.186171770095825,0.0501680970191956,-0.264014929533005,-0.0200356841087341,-0.300606161355972,0.0150421857833862,0.236591279506683,-0.115317076444626,0.112743049860001,-0.022175520658493
"SWALLOW",0.00723232422024012,-0.0637118145823479,-0.0759064704179764,-0.0338130779564381,-0.074573926627636,-0.114894829690456,-0.0839263051748276,-0.0826583132147789,-0.00957722403109074,-0.00754751358181238,0.16012966632843,0.270209074020386,-0.203004002571106,-0.0799241960048676,0.0538815855979919,-0.0574997365474701,0.175177484750748,-0.0021899938583374,-0.279787868261337,-0.15587617456913
"FEEL_FULL",-0.0251711830496788,-0.04481166228652,0,0.116219446063042,0.00708102295175195,-0.0162941757589579,-0.0287753902375698,-0.0012254526372999,-0.0150705045089126,-0.00661851651966572,0.0205243527889252,0.239532113075256,-0.25163072347641,0.254833400249481,-0.137503728270531,0.0158345997333527,-0.0582023561000824,0.145967990159988,0.0461276769638062,0.0560845136642456
"PAIN",-0.0438772551715374,-0.0956289023160934,-0.244976580142975,-0.187495365738869,-0.0021769420709461,-0.00892385747283697,-0.00847395416349173,-0.00241132127121091,-0.0972584709525108,-0.028997415676713,-0.178377121686935,0.230719208717346,0.0257534086704254,-0.181540384888649,-0.225302368402481,0.244592368602753,0.207831501960754,0.226978242397308,-0.163118898868561,0.133797854185104
