"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"BMI",-0.0980516597628593,0.181624189019203,-0.115680485963821,-0.60750824213028,-0.0848391503095627,-0.00339653878472745,-0.143216043710709,0.0461015589535236,0.0889808014035225,0.00060219899751246,-0.00165465695317835,0.00035441288491711,0.000354418007191271,0.000352583767380565,0,-0.000189892423804849,0.000189893005881459,0.000396412069676444,-0.000189892889466137,-0.000352690054569393,0,0.000189904298167676
"NO_PROBLEM",-0.000981941469945014,0.00145492958836257,0.0319802761077881,0.135485857725143,0.0711028352379799,-0.125541180372238,-0.00044082838576287,0,0.00152402243111283,0.00059751613298431,-0.000180314542376436,0,0.000354410673025995,-0.000355797179508954,0.000354625808540732,0.000189897196833044,-0.000189850165043026,0.00035495514748618,0,0,0,-0.000354288204107434
"NO_APPETITE",-0.378242939710617,-0.135060891509056,-0.00046286074211821,-0.0457226447761059,0.000915633048862219,0.000542029622010887,-0.00123937777243555,0.202661111950874,0,0,0.000167821897775866,-0.000189904880244285,-0.000352542439941317,0.000396411604015157,0.00035459705395624,0.000204347423277795,0.000189852260518819,-0.000354429183062166,0,-0.000189870537724346,0.000189908139873296,-0.000352575851138681
"NAUSEA",0.000226392818149179,0.00250386749394238,-0.0311914216727018,-0.00567130465060472,0.00382028031162918,-0.00246454845182598,-0.00189736869651824,-0.237618565559387,0.000363128870958462,0,0,0,-0.000189904298167676,0,-0.000354946183506399,-0.00018988543888554,-0.000352586910594255,-0.000189842598047107,0.000354628369677812,-0.000354640593286604,-0.000354618357960135,0.0001898905611597
"CONSTIPATION",0.00104069476947188,0.16532938182354,-0.142793253064156,-0.00252120452933013,-0.00196371460333467,0,0,-0.253300935029984,0.00134126038756222,0,0,-0.000189887301530689,0,0,-0.000189823505934328,0.000353020441252738,0,-0.000354447693098336,0.000189835613127798,0.000353021721821278,-0.000352594011928886,0
"SORE_MOUTH",-0.00318904290907085,0.00107924628537148,-0.00386550882831216,0.0158464089035988,0,0.0697658956050873,0.0751400664448738,0.0263460874557495,0.000727330450899899,0.0268534179776907,-0.00201399996876717,-0.000354414631146938,0.000352576316799968,-0.000352597620803863,-0.000355810101609677,0,0.000352592265699059,0.000189888232853264,0.000354595074895769,-0.000396414514398202,-0.000354584597516805,-0.000189904763828963
"TASTE_FUNNY",-0.00050485203973949,0.286555171012878,-0.121944017708302,0.0477878861129284,0,0.0941232219338417,0.00139031710568815,0.172722116112709,-0.00227899057790637,0.0382874757051468,0,0.000354571675416082,-0.000355823372956365,-0.000189867510925978,0.000354634306859225,-0.000355798227246851,-0.000354773655999452,-0.000354623713064939,0,0.000396409508539364,-0.000354583899024874,-0.000354608811903745
"SMELL",0.0241168215870857,0.00124745769426227,-0.26899191737175,-0.000175965862581506,-0.00466070044785738,0.000710306805558503,-0.00219886633567512,0,0.00117005489300936,0,-0.00162657222244889,0,-0.000189842598047107,0.000354293209966272,0.000354946299921721,0,-0.000140023679705337,-0.000352622650098056,0,-0.000354602991137654,-0.000352611823473126,0.000352682603988796
"SWALLOW",0.116737924516201,0.0605543032288551,-0.0376948602497578,-0.00112529692705721,0.000659294368233532,0.000360838515916839,-0.142129853367805,0,0,0,0,-0.000189869489986449,0.000396360963350162,-0.000355825934093446,0.000189895101357251,-0.000352537317667156,0,0.000396385992644355,-0.000189855869393796,0.000189905113074929,0.000396380404708907,-0.000189824437256902
"FEEL_FULL",-0.0958879068493843,-0.0694895535707474,0.00104167126119137,-0.222221180796623,0.000520875561051071,-0.00118644163012505,-0.000548474490642548,0,0,-0.000212923652725294,-0.00123104196973145,0.000352627655956894,0.000396398216253147,-0.000354564574081451,0.000354631047230214,-0.000352545466739684,-0.000353069568518549,0.00039635700522922,-0.000189884507562965,0,0.00035462569212541,0.00035464036045596
